,TypeVendeur,année,codepostal,cote_affinée,email,kilometrage,lien,modele,prix_neuf,prix_vente,telephone,type
246,Pro Véhicules,2015,"Pessac 33600
                ",9087,NA,48957,https://www.leboncoin.fr/voitures/1182357463.htm?ca=2_s,Zoe,22600,9290,A prendre plus tard,life
247,Pro Véhicules,2016,"Bruges 33520
                ",11819,NA,3000,https://www.leboncoin.fr/voitures/1079144403.htm?ca=2_s,Zoe,22600,13300,A prendre plus tard,life
248,Pro Véhicules,2016,"Lormont 33310
                ",11809,NA,4619,https://www.leboncoin.fr/voitures/1307057599.htm?ca=2_s,Zoe,22600,11990,A prendre plus tard,life
249,Pro Véhicules,2014,"Lormont 33310
                ",10826,NA,15143,https://www.leboncoin.fr/voitures/1307058054.htm?ca=2_s,Zoe,23900,8990,A prendre plus tard,zen
250,Pro Véhicules,2014,"Lormont 33310
                ",11855,NA,24088,https://www.leboncoin.fr/voitures/1307057894.htm?ca=2_s,Zoe,22600,8690,A prendre plus tard,life
251,Pro Véhicules,2014,"Lormont 33310
                ",11162,NA,34301,https://www.leboncoin.fr/voitures/1307057802.htm?ca=2_s,Zoe,22600,8490,A prendre plus tard,life
252,Pro Véhicules,2014,"Lormont 33310
                ",12268,NA,10690,https://www.leboncoin.fr/voitures/1307058176.htm?ca=2_s,Zoe,22600,8990,A prendre plus tard,life
253,Pro Véhicules,2014,"Lormont 33310
                ",8673,NA,37441,https://www.leboncoin.fr/voitures/1307057547.htm?ca=2_s,Zoe,24600,9490,A prendre plus tard,intens
254,Pro Véhicules,2016,"Lormont 33310
                ",11760,NA,7701,https://www.leboncoin.fr/voitures/1307058227.htm?ca=2_s,Zoe,22600,10500,A prendre plus tard,life
255,Pro Véhicules,2015,"Bruges 33520
                ",12017,NA,16370,https://www.leboncoin.fr/voitures/1307057860.htm?ca=2_s,Zoe,24600,9950,A prendre plus tard,intens
256,Pro Véhicules,2014,"Lormont 33310
                ",10905,NA,9094,https://www.leboncoin.fr/voitures/1307058016.htm?ca=2_s,Zoe,23900,8990,A prendre plus tard,zen
257,particulier,2017," 40390
                ",15395,NA,9000,https://www.leboncoin.fr/voitures/1164190494.htm?ca=2_s,Zoe,23900,15000,A prendre plus tard,NA
258,particulier,2013," 24430
                ",9237,NA,29500,https://www.leboncoin.fr/voitures/1305473373.htm?ca=2_s,Zoe,24600,8500,A prendre plus tard,intens
259,Pro Véhicules,2014,"Dax 40100
                ",8515,NA,42836,https://www.leboncoin.fr/voitures/1189408281.htm?ca=2_s,Zoe,24600,10590,A prendre plus tard,intens
260,Pro Véhicules,2013,"Fontenay-le-Vicomte 91540
                ",7729,NA,70896,https://www.leboncoin.fr/voitures/1314954351.htm?ca=12_s,Zoe,22600,6790,A prendre plus tard,life
261,particulier,2010,"Fontenay-sous-Bois 94120
                ",7307,NA,45000,https://www.leboncoin.fr/voitures/1314550590.htm?ca=12_s,Fluence,23900,9900,A prendre plus tard,NA
262,Pro Véhicules,2016,"Mantes-la-Ville 78711
                ",11782,NA,6667,https://www.leboncoin.fr/voitures/1314085781.htm?ca=12_s,Zoe,22600,10890,A prendre plus tard,life
263,Pro Véhicules,2017,"Paris 75015
                ",15818,NA,500,https://www.leboncoin.fr/voitures/1153901361.htm?ca=12_s,Zoe,23900,16390,A prendre plus tard,zen
264,particulier,2013,"Aulnay-sur-Mauldre 78126
                ",8519,NA,55300,https://www.leboncoin.fr/voitures/1313301922.htm?ca=12_s,Zoe,23900,8000,A prendre plus tard,zen
265,Pro Véhicules,2015,"Melun 77000
                ",9835,NA,17940,https://www.leboncoin.fr/voitures/1153494165.htm?ca=12_s,Zoe,22600,9900,A prendre plus tard,life
266,Pro Véhicules,2015,"Paris 75008
                ",10700,NA,3100,https://www.leboncoin.fr/voitures/1174505037.htm?ca=12_s,Zoe,23900,11590,A prendre plus tard,zen
267,Pro Véhicules,2015,"Paris 75008
                ",11044,NA,40095,https://www.leboncoin.fr/voitures/1174505458.htm?ca=12_s,Zoe,24600,10700,A prendre plus tard,intens
268,Pro Véhicules,2013,"Paris 75008
                ",8382,NA,81404,https://www.leboncoin.fr/voitures/1174505342.htm?ca=12_s,Zoe,23900,8700,A prendre plus tard,zen
269,particulier,2015,"Pussay 91740
                ",10610,NA,11900,https://www.leboncoin.fr/voitures/1312154281.htm?ca=12_s,Zoe,23900,9000,A prendre plus tard,NA
270,Pro Véhicules,2014,"Paris 75008
                ",9542,NA,18815,https://www.leboncoin.fr/voitures/1311654426.htm?ca=12_s,Zoe,24600,10900,A prendre plus tard,intens
271,Pro Véhicules,2015,"Courbevoie 92400
                ",12223,NA,10014,https://www.leboncoin.fr/voitures/1311655583.htm?ca=12_s,Zoe,24600,11500,A prendre plus tard,intens
272,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654762.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
273,Pro Véhicules,2014,"Paris 75008
                ",10911,NA,8184,https://www.leboncoin.fr/voitures/1311654168.htm?ca=12_s,Zoe,23900,10990,A prendre plus tard,zen
274,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654674.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
275,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654806.htm?ca=12_s,Zoe,24600,17490,A prendre plus tard,intens
276,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654839.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
277,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654664.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
278,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654684.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
279,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654659.htm?ca=12_s,Zoe,24600,17490,A prendre plus tard,intens
280,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654697.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
281,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654725.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
282,Pro Véhicules,2013,"Courbevoie 92400
                ",9961,NA,19186,https://www.leboncoin.fr/voitures/1311655973.htm?ca=12_s,Zoe,23900,8790,A prendre plus tard,zen
283,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654795.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
284,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654735.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
285,Pro Véhicules,2017,"Brie-Comte-Robert 77170
                ",13620,NA,1,https://www.leboncoin.fr/voitures/1311654831.htm?ca=12_s,Zoe,24600,17790,A prendre plus tard,intens
286,Pro Véhicules,2015,"Pantin 93500
                ",11818,NA,19756,https://www.leboncoin.fr/voitures/1311182741.htm?ca=12_s,Zoe,24600,11990,A prendre plus tard,intens
287,Pro Véhicules,2016,"Versailles 78000
                ",14729,NA,100,https://www.leboncoin.fr/voitures/1128769092.htm?ca=12_s,Zoe,23900,13900,A prendre plus tard,zen
288,particulier,2015,"Orsay 91400
                ",11797,NA,20000,https://www.leboncoin.fr/voitures/1309416440.htm?ca=12_s,Zoe,24600,10450,A prendre plus tard,intens
289,Pro Véhicules,2013,"Nanterre 92000
                ",8661,NA,49299,https://www.leboncoin.fr/voitures/1310686854.htm?ca=12_s,Zoe,23900,9980,A prendre plus tard,zen
290,Pro Véhicules,2014,"Courbevoie 92400
                ",10271,NA,2759,https://www.leboncoin.fr/voitures/1128769008.htm?ca=12_s,Zoe,22600,9490,A prendre plus tard,life
291,Pro Véhicules,2016,"Montreuil 93100
                ",13032,NA,6130,https://www.leboncoin.fr/voitures/1049170770.htm?ca=12_s,Zoe,24600,12990,A prendre plus tard,intens
